Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-July-2022,548.90,564.00,545.20,555.15,556.890832220270710852,95083,3632,52950851.00,,,18.80,6.25
4-July-2022,540.00,554.25,525.35,548.20,538.852709036433851626,147857,6347,79673145.00,50585,34.21,28.90,8.20
1-July-2022,511.00,545.00,508.75,541.75,530.741127436239921117,142997,4554,75894389.00,30984,21.67,36.25,30.75
30-June-2022,510.00,518.95,505.60,511.75,514.359144799315538590,106361,5014,54707753.00,28292,26.60,13.35,1.75
29-June-2022,528.10,528.10,506.60,513.70,514.701710863986313088,140280,5772,72202356.00,29124,20.76,21.50,-14.40
28-June-2022,539.95,539.95,523.30,535.20,531.453026076946916367,90348,4042,48015718.00,22927,25.38,16.65,-4.75
27-June-2022,537.00,547.65,528.90,542.70,539.208011700658162021,86149,2955,46452231.00,17528,20.35,18.75,5.70
24-June-2022,534.00,537.60,526.90,533.20,533.545043516617749351,117886,2595,62897491.00,23634,20.05,10.70,-0.80
23-June-2022,516.00,530.20,511.50,527.65,521.191833498513379583,75675,2882,39441192.00,11684,15.44,18.70,11.65
22-June-2022,510.50,517.00,505.00,507.30,511.708926756705009057,67897,3232,34743501.00,20339,29.96,12.00,-3.20
21-June-2022,503.00,520.30,497.00,518.10,509.417288266218931491,72662,2975,37015279.00,12062,16.60,23.30,15.10
20-June-2022,495.00,507.70,488.05,496.80,499.416681993746551407,119614,5281,59737227.00,19507,16.31,19.65,1.80
17-June-2022,508.30,508.30,486.95,490.50,496.143385032472506301,215413,11599,106875735.00,54208,25.16,21.35,-17.80
16-June-2022,525.10,538.15,508.00,511.55,527.245941779744552337,190724,4504,100558455.00,25856,13.56,30.15,-13.55
15-June-2022,521.30,526.90,516.00,523.85,521.947401678293398038,39564,1635,20650327.00,7622,19.26,10.90,2.55
14-June-2022,511.80,528.50,511.80,516.60,521.598990613257906631,72123,2562,37619284.00,10555,14.63,16.70,4.80
13-June-2022,512.80,521.65,511.15,517.55,517.043281550288276745,49952,2030,25827346.00,10226,20.47,10.50,4.75
10-June-2022,522.10,534.85,518.25,524.60,526.872657705657649573,160473,4996,84548836.00,30304,18.88,16.60,2.50
9-June-2022,510.05,526.90,503.20,525.50,515.137750087750087750,56980,2638,29352549.00,9339,16.39,23.70,15.45
8-June-2022,525.00,528.05,514.10,516.25,520.111491021742871894,87155,4021,45330317.00,22613,25.95,13.95,-8.75
7-June-2022,524.00,529.00,516.85,522.60,522.562424784517807773,122980,5232,64264727.00,37729,30.68,12.15,-1.40
6-June-2022,543.20,543.80,529.50,531.10,536.346658913601783204,103185,3831,55342930.00,33002,31.98,14.30,-12.10
3-June-2022,556.30,569.20,540.85,543.40,558.756599788806758183,333344,4737,186258160.00,121455,36.44,28.35,-12.90
2-June-2022,554.00,557.10,546.65,552.10,552.677146903419916620,175823,4143,97173354.00,56489,32.13,10.45,-1.90
1-June-2022,553.00,564.55,549.85,556.25,556.414421240136377924,248134,4070,138065336.00,61255,24.69,14.70,3.25
31-May-2022,557.50,564.30,547.50,550.70,553.498404009252120277,259400,6592,143577486.00,46422,17.90,16.80,-6.80
30-May-2022,530.00,572.75,511.70,566.80,548.931808228946136825,1130327,29585,620472444.00,340342,30.11,61.05,36.80
27-May-2022,493.45,518.85,490.00,516.95,507.179166295289451401,359024,10723,182089493.00,134813,37.55,28.85,23.50
26-May-2022,469.00,489.85,465.60,486.95,479.601971849351289091,138043,4694,66205695.00,41867,30.33,24.25,17.95
25-May-2022,476.20,482.55,458.60,464.15,466.235109240176003352,52499,2271,24476877.00,14391,27.41,23.95,-12.05
24-May-2022,488.50,488.50,472.10,478.05,478.409234667371510340,109717,5361,52489626.00,22035,20.08,16.40,-10.45
23-May-2022,490.00,500.10,483.50,485.70,492.552718643758413763,131481,5136,64761324.00,45994,34.98,16.60,-4.30
20-May-2022,486.00,492.65,482.85,487.70,487.723892035263552661,91993,3718,44867184.00,21665,23.55,9.80,1.70
19-May-2022,477.00,496.00,473.15,481.70,484.642779319169422168,157866,3024,76508617.00,14937,9.46,22.85,4.70
18-May-2022,501.95,504.50,485.00,489.85,494.096448408153916628,139712,6234,69031203.00,36937,26.44,19.50,-12.10
